Country_Name,Country_Code,Indicator_Name,Indicator_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.084,64.429,64.747,65.053,65.356,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.394,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.886,70.924,70.969,71.018,71.062,71.098,71.126,71.148,71.168,71.19,71.219,71.259,71.312,71.382,71.469,71.572,71.688,71.816,71.952,72.093,72.235,72.377,72.517,72.654,72.792,72.93,73.069,73.208,73.348,73.488,73.628,73.768,
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.662,66.074,66.444,66.787,67.113,67.435,67.762,68.095,68.436,68.784,69.14,69.498,69.851,70.191,70.519,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.573,73.598,73.622,73.646,73.671,73.7,73.738,73.787,73.853,73.937,74.038,74.156,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,76.293,
Aruba,ABW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.129,67.625,68.065,68.458,68.817,69.165,69.526,69.917,70.345,70.811,71.306,71.815,72.313,72.779,73.204,73.579,73.902,74.183,74.43,74.647,74.839,75.01,75.164,75.305,75.436,75.556,75.663,75.754,75.827,75.886,75.932,75.969,76.002,76.033,76.066,76.1,76.133,76.164,76.192,76.221,76.257,76.307,76.375,76.465,76.575,76.703,76.845,76.992,77.14,77.285,77.425,77.561,77.695,77.83,77.965,78.101,78.237,78.372,78.507,78.641,
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,41.17795843,41.61893115,42.04902725,42.46654512,42.87179348,43.26673942,43.65442144,44.03822074,44.41994257,44.79982485,45.17779135,45.55341483,45.9236163,46.2841962,46.63135,46.96126753,47.27035777,47.55826788,47.82737539,48.07962848,48.32563001,48.56247248,48.79403303,49.01904782,49.22814508,49.40012206,49.51158579,49.54512841,49.4985212,49.38484016,49.23231777,49.07812794,48.94696911,48.84965042,48.78242015,48.74257936,48.739396,48.78688932,48.89815997,49.08512984,49.36246137,49.738602,50.21846563,50.79830103,51.46937625,52.22171238,53.0456237,53.9184985,54.81422082,55.70965401,56.58068023,57.408893,58.18732702,58.90737398,59.56001577,60.13942186,60.64316963,61.08344533,61.47035431,61.81315456,
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.71605253,43.16693507,43.60399025,44.0256167,44.43272097,44.82691851,45.21304771,45.59429412,45.97405884,46.3523989,46.72879651,47.10286632,47.47116843,47.8294031,48.17499866,48.5033109,48.81083653,49.09784958,49.36632757,49.6199972,49.87069254,50.11588584,50.36345641,50.61038491,50.84833478,51.05805709,51.21428085,51.29978085,51.30859548,51.25176311,51.1541131,51.04841383,50.95726212,50.8902461,50.84186496,50.8084844,50.79615697,50.82061357,50.89760718,51.04419133,51.27612888,51.60645828,52.04314928,52.5858534,53.22891347,53.96655013,54.79170665,55.6823435,56.60979892,57.54877186,58.47069668,59.35359492,60.18556105,60.95336296,61.64736659,62.25928837,62.78768149,63.24626353,63.64898804,64.00519747,
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,44.3005706,44.76118003,45.20558466,45.63116151,46.03922085,46.43244751,46.81570577,47.19480813,47.57204288,47.94855294,48.3235266,48.69613114,49.06256841,49.41885657,49.76228497,50.08866411,50.39414955,50.67913456,50.94658651,51.20073484,51.45606889,51.7104809,51.97462957,52.24517213,52.51456645,52.76587379,52.97187852,53.11614739,53.18905981,53.19896406,53.16609762,53.11842808,53.07675846,53.048248,53.02489091,53.00154489,52.98045077,52.97922165,53.01728882,53.11428684,53.29114253,53.56403146,53.94480913,54.43828413,55.04185438,55.75485259,56.57330718,57.47516689,58.42881556,59.40725765,60.37721023,61.31293972,62.1969713,63.01115873,63.74478787,64.38825666,64.93929386,65.41551459,65.83294435,66.20211599,
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,31.718,32.224,32.724,33.216,33.7,34.18,34.656,35.133,35.615,36.106,36.607,37.12,37.644,38.18,38.729,39.293,39.874,40.473,41.09,41.723,42.372,43.037,43.715,44.403,45.097,45.796,46.499,47.204,47.906,48.601,49.281,49.938,50.57,51.172,51.746,52.287,52.798,53.285,53.753,54.21,54.663,55.119,55.583,56.056,56.542,57.044,57.562,58.092,58.626,59.159,59.683,60.19,60.675,61.133,61.563,61.965,62.343,62.701,63.047,63.382,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.446,32.962,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486,48.211,48.93,49.64,50.331,50.999,51.641,52.256,52.842,53.398,53.924,54.424,54.906,55.376,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,64.833,
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,33.314,33.84,34.359,34.866,35.364,35.853,36.338,36.823,37.314,37.815,38.327,38.851,39.385,39.931,40.49,41.064,41.656,42.265,42.894,43.541,44.209,44.899,45.607,46.331,47.066,47.807,48.55,49.29,50.023,50.742,51.442,52.119,52.774,53.405,54.012,54.592,55.141,55.663,56.162,56.645,57.12,57.596,58.08,58.578,59.093,59.628,60.183,60.751,61.326,61.898,62.459,63,63.514,63.999,64.453,64.877,65.275,65.656,66.026,66.388,
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,36.0430283,36.46982529,36.89042456,37.30294453,37.70682453,38.10468432,38.49891959,38.89471136,39.29808343,39.71295555,40.14520659,40.5980768,41.07104644,41.5601245,42.06102088,42.57157901,43.08823901,43.60550669,44.11468377,44.6084197,45.07556811,45.50682934,45.89704637,46.24341892,46.54194183,46.79292548,46.99982286,47.17074709,47.31468789,47.43724966,47.53830687,47.61302852,47.66162694,47.68849542,47.7022528,47.71411113,47.73448834,47.77751743,47.85735998,47.98684058,48.18403592,48.46495896,48.82869982,49.26845205,49.77568252,50.33382978,50.92171473,51.51706565,52.09938729,52.65546912,53.17909203,53.67344025,54.14959221,54.61479573,55.06773992,55.50520504,55.92132444,56.31191206,56.67496449,57.01216254,
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.20538029,37.63254581,38.05261245,38.4637463,38.86707273,39.26484102,39.66276168,40.06640763,40.48283204,40.91421502,41.36511663,41.83721354,42.32704272,42.82907706,43.33921927,43.85504197,44.37396611,44.89222647,45.40268058,45.89747528,46.36610371,46.79829219,47.18861757,47.53398545,47.83053649,48.0793809,48.28458085,48.45412783,48.59742098,48.71923081,48.8169994,48.88593428,48.92341607,48.93370775,48.92550535,48.90993678,48.89987529,48.90912995,48.95533902,49.05263892,49.21971381,49.4751356,49.81692863,50.23943237,50.73341665,51.28348666,51.86820257,52.46395756,53.0495004,53.61208951,54.14430671,54.64999813,55.13894432,55.61898641,56.08826904,56.54200914,56.97476115,57.3823627,57.76234679,58.11572272,
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,38.42723212,38.8521803,39.2694772,39.6776845,40.07724014,40.47364329,40.87386762,41.28513594,41.71377378,42.16254579,42.63244832,43.12395304,43.63045987,44.14624213,44.66543952,45.18565177,45.70699931,46.22622813,46.73746137,47.23395817,47.70421053,48.13746258,48.52821573,48.87181398,49.16566712,49.41060762,49.61235872,49.77964432,49.92067499,50.040823,50.13549272,50.19749545,50.22361895,50.2164821,50.18561199,50.14181695,50.09864033,50.07299248,50.0832642,50.14548882,50.28114037,50.50741579,50.82487999,51.22673616,51.7051181,52.24412701,52.82269431,53.41751487,54.00589388,54.57453604,55.11618479,55.63294229,56.13592204,56.63160109,57.11689924,57.58768341,58.03710708,58.46194573,58.85923898,59.2310725,
Angola,AGO,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,36.305,36.582,36.874,37.181,37.501,37.833,38.177,38.532,38.894,39.26,39.627,39.994,40.359,40.716,41.063,41.394,41.703,41.99,42.254,42.492,42.708,42.906,43.09,43.259,43.414,43.544,43.64,43.696,43.711,43.692,43.642,43.568,43.487,43.416,43.374,43.378,43.442,43.574,43.781,44.074,44.466,44.966,45.567,46.261,47.038,47.893,48.821,49.807,50.826,51.85,52.848,53.79,54.66,55.447,56.14,56.737,57.242,57.677,58.064,58.416,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178,40.546,40.914,41.282,41.65,42.016,42.374,42.721,43.053,43.367,43.66,43.931,44.178,44.404,44.611,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763,46.093,46.522,47.059,47.702,48.44,49.263,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,61.147,
Angola,AGO,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,38.763,39.069,39.391,39.727,40.075,40.433,40.801,41.175,41.554,41.934,42.314,42.693,43.073,43.449,43.82,44.181,44.531,44.866,45.183,45.48,45.754,46.005,46.231,46.434,46.612,46.762,46.878,46.962,47.017,47.052,47.07,47.077,47.082,47.101,47.149,47.242,47.391,47.605,47.893,48.265,48.736,49.317,50.005,50.789,51.661,52.614,53.642,54.726,55.839,56.953,58.033,59.052,59.992,60.841,61.591,62.237,62.783,63.252,63.666,64.039,
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.309,62.272,63.117,63.811,64.346,64.723,64.962,65.116,65.233,65.346,65.496,65.714,66.004,66.356,66.762,67.19,67.596,67.943,68.204,68.376,68.475,68.533,68.59,68.673,68.788,68.92,69.04,69.12,69.145,69.122,69.07,69.017,68.997,69.037,69.15,69.347,69.631,69.982,70.376,70.797,71.216,71.606,71.951,72.246,72.493,72.708,72.919,73.156,73.438,73.769,74.145,74.552,74.966,75.364,75.734,76.066,76.353,76.601,76.816,77.002,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.283,63.301,64.19,64.914,65.463,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.448,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573,
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,63.247,64.325,65.261,66.017,66.585,66.987,67.273,67.517,67.779,68.084,68.441,68.839,69.247,69.64,70.014,70.369,70.71,71.046,71.384,71.729,72.09,72.479,72.893,73.323,73.754,74.156,74.492,74.744,74.903,74.977,74.991,74.98,74.985,75.039,75.158,75.352,75.618,75.931,76.269,76.616,76.953,77.263,77.538,77.777,77.982,78.165,78.349,78.551,78.781,79.037,79.302,79.554,79.77,79.934,80.045,80.107,80.134,80.148,80.167,80.201,
Andorra,AND,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,45.50473875,46.10172547,46.68912258,47.26980788,47.84457712,48.41136905,48.96363161,49.49993858,50.02317446,50.54052181,51.06498481,51.61348121,52.1932097,52.80109321,53.42535892,54.04618037,54.64021476,55.1938834,55.70816549,56.1976787,56.68894177,57.21176254,57.78499842,58.4128558,59.0828124,59.76870686,60.43934399,61.06595532,61.62738121,62.11880673,62.58294906,62.96488228,63.24717581,63.61138512,63.97610323,64.39601585,64.75356425,65.09907807,65.42541845,65.7336574,66.02625896,66.30868608,66.58535178,66.86275445,67.14421532,67.42706352,67.70578051,67.97139485,68.21417257,68.42879989,68.61895142,68.79463538,68.96879884,69.14954686,69.33663337,69.52897308,69.72460275,69.92114255,70.11592809,70.30818383,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.54690911,47.14162039,47.73178236,48.32043327,48.9100192,49.49647723,50.07294888,50.63441245,51.18209934,51.72202261,52.26421092,52.82293228,53.40688649,54.01585517,54.64286724,55.27798768,55.90961164,56.5280755,57.13389799,57.73485934,58.34502231,58.97735807,59.63599752,60.31627737,61.0037621,61.67681626,62.31411961,62.90134697,63.4296881,63.89897996,64.35157729,64.73634052,65.04385274,65.41490707,65.78565317,66.19610005,66.554103,66.89714478,67.21809146,67.517689,67.80059145,68.07251864,68.34024632,68.61050561,68.88618776,69.16468296,69.43945938,69.70155529,69.94217387,70.15756008,70.34991642,70.52876168,70.7037978,70.8822177,71.06426877,71.24957097,71.43654717,71.62267043,71.80707511,71.98970937,
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,47.62956448,48.2203179,48.8110212,49.40685056,50.01012503,50.61656998,51.21704693,51.8046596,52.37723088,52.93968216,53.49916362,54.06677894,54.65247165,55.25995571,55.88788379,56.53851584,57.21332049,57.90904409,58.62414992,59.35995989,60.1138666,60.87800691,61.63853182,62.37963674,63.08398816,63.73544324,64.32577595,64.85919921,65.34236772,65.78197362,66.21882127,66.60742494,66.93926119,67.32333857,67.70610036,68.11539838,68.47837584,68.82107008,69.13759,69.42871691,69.69991335,69.95998526,70.21864631,70.48362282,70.75801293,71.03871062,71.31838561,71.58702422,71.83533611,72.05995757,72.26116104,72.44597347,72.62231606,72.79675686,72.9712271,73.14647941,73.32126024,73.49382808,73.66367514,73.8323145,
United Arab Emirates,ARE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,49.249,50.363,51.462,52.541,53.597,54.631,55.648,56.656,57.654,58.639,59.606,60.546,61.452,62.315,63.132,63.899,64.617,65.289,65.921,66.515,67.071,67.589,68.072,68.522,68.943,69.337,69.707,70.055,70.384,70.698,70.999,71.289,71.567,71.834,72.093,72.345,72.59,72.829,73.062,73.291,73.516,73.738,73.957,74.174,74.388,74.601,74.811,75.018,75.223,75.424,75.624,75.823,76.022,76.219,76.414,76.605,76.79,76.966,77.133,77.291,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.537,52.56,53.573,54.572,55.555,56.523,57.482,58.432,59.375,60.304,61.215,62.099,62.949,63.759,64.525,65.244,65.916,66.545,67.137,67.692,68.213,68.701,69.158,69.585,69.986,70.363,70.717,71.049,71.361,71.657,71.939,72.208,72.466,72.715,72.957,73.194,73.428,73.657,73.883,74.106,74.327,74.544,74.758,74.968,75.174,75.376,75.573,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.647,77.814,77.972,
United Arab Emirates,ARE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,53.973,54.897,55.829,56.771,57.72,58.678,59.641,60.604,61.56,62.498,63.41,64.287,65.126,65.92,66.666,67.362,68.007,68.606,69.165,69.685,70.168,70.614,71.026,71.407,71.76,72.088,72.395,72.682,72.954,73.213,73.461,73.701,73.932,74.155,74.374,74.591,74.812,75.036,75.264,75.496,75.729,75.961,76.187,76.406,76.616,76.818,77.014,77.205,77.394,77.583,77.77,77.957,78.143,78.325,78.504,78.678,78.846,79.008,79.164,79.314,
Argentina,ARG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.417,62.46,62.478,62.487,62.503,62.542,62.619,62.739,62.901,63.106,63.349,63.622,63.909,64.198,64.484,64.766,65.045,65.326,65.611,65.897,66.173,66.431,66.664,66.871,67.053,67.219,67.379,67.545,67.726,67.924,68.138,68.361,68.586,68.804,69.014,69.212,69.402,69.586,69.768,69.948,70.128,70.307,70.484,70.661,70.835,71.008,71.179,71.347,71.513,71.676,71.837,71.995,72.151,72.306,72.46,72.614,72.768,72.924,73.082,73.242,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.055,65.176,65.269,65.348,65.426,65.518,65.64,65.796,65.989,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.496,69.777,70.033,70.262,70.466,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.246,72.453,72.651,72.843,73.029,73.213,73.396,73.576,73.755,73.932,74.107,74.28,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,
Argentina,ARG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,68.154,68.362,68.536,68.685,68.82,68.958,69.111,69.289,69.495,69.733,70,70.291,70.593,70.896,71.196,71.494,71.793,72.097,72.407,72.718,73.023,73.311,73.576,73.816,74.029,74.22,74.397,74.569,74.745,74.928,75.119,75.316,75.515,75.71,75.902,76.09,76.273,76.453,76.631,76.808,76.982,77.155,77.326,77.496,77.664,77.831,77.996,78.16,78.323,78.485,78.646,78.806,78.966,79.124,79.281,79.434,79.583,79.726,79.863,79.995,
